RSH #,RSH Lesson,SH,RSH Keyword,RTH Read,TH Read
0124,RSH1-L07,厚,thick,hòu,hòu
0125,RSH1-L07,石,stone,shí,shí|dàn
0126,RSH1-L07,砂,gravel,shā,shā
0127,RSH1-L07,妙,wonderful,miào,miào
0128,RSH1-L07,肖,resemble,xiào,xiào|Xiāo
0129,RSH1-L07,削,peel,xuē,xiāo|xuē
0130,RSH1-L07,光,ray,guāng,guāng
0131,RSH1-L07,太,overly,tài,tài
0132,RSH1-L07,省,economize,shěng,shěng|xǐng
0133,RSH1-L07,奇,strange,qí,qí|jī
0134,RSH1-L08,川,stream,chuān,chuān
0135,RSH1-L08,州,state,zhōu,zhōu
0136,RSH1-L08,顺,obey,shùn,shùn
0137,RSH1-L08,水,water,shuǐ,shuǐ
0138,RSH1-L08,永,eternity,yǒng,yǒng
0139,RSH1-L08,脉,blood vessels,mài,mài|mò
0140,RSH1-L08,求,request,qiú,qiú
0141,RSH1-L08,泉,spring,quán,quán
0142,RSH1-L08,原,flatlands,yuán,yuán
0143,RSH1-L08,泳,swim,yǒng,yǒng
0144,RSH1-L08,洲,continent,zhōu,zhōu
0145,RSH1-L08,沼,marsh,zhǎo,zhǎo
0146,RSH1-L08,沙,sand,shā,shā
0147,RSH1-L08,江,Yangtze,jiāng,jiāng
0148,RSH1-L08,汁,juice,zhī,zhī
0149,RSH1-L08,潮,tide,cháo,cháo
0150,RSH1-L08,源,source,yuán,yuán
0151,RSH1-L08,活,lively,huó,huó
0152,RSH1-L08,消,extinguish,xiāo,xiāo
0153,RSH1-L08,河,river,hé,hé
0154,RSH1-L08,鱼,fish,yú,yú
0155,RSH1-L08,渔,fishing,yú,yú
0156,RSH1-L08,湖,lake,hú,hú
0157,RSH1-L08,测,fathom,cè,cè
0158,RSH1-L08,土,soil,tǔ,tǔ
0159,RSH1-L08,均,equal,jūn,jūn
0160,RSH1-L08,肚,belly,dù,dù|dǔ
0161,RSH1-L08,尘,dust,chén,chén
0162,RSH1-L08,填,fill in,tián,tián
0163,RSH1-L08,吐,spit,tǔ,tǔ|tù
0164,RSH1-L08,压,pressure,yā,yā|yà
0165,RSH1-L08,哇,waaah!,wa,wa|wā
0166,RSH1-L08,寸,Chinese inch,cùn,cùn
0167,RSH1-L08,封,seal,fēng,fēng
0168,RSH1-L08,时,time,shí,shí
0169,RSH1-L08,寺,Buddhist temple,sì,sì
0170,RSH1-L08,火,fire,huǒ,huǒ
0171,RSH1-L08,灭,destroy,miè,miè
0172,RSH1-L08,灰,ashes,huī,huī
0173,RSH1-L08,烦,vexed,fán,fán
0174,RSH1-L08,炎,inflammation,yán,yán
0175,RSH1-L08,淡,thin,dàn,dàn
0176,RSH1-L08,灯,lamp,dēng,dēng
0177,RSH1-L08,点,spot,diǎn,diǎn
0178,RSH1-L08,照,illuminate,zhào,zhào
0179,RSH1-L09,里,li,lǐ,lǐ|li
0180,RSH1-L09,量,quantity,liàng,liàng|liáng
0181,RSH1-L09,埋,bury,mái,mái|mán
0182,RSH1-L09,黑,black,hēi,hēi
0183,RSH1-L09,墨,black ink,mò,mò
0184,RSH1-L09,冒,risk,mào,mào
0185,RSH1-L09,同,same,tóng,tóng|tòng
0186,RSH1-L09,洞,cave,dòng,dòng
0187,RSH1-L09,丽,lovely,lì,lí|lì
0188,RSH1-L09,向,orientation,xiàng,xiàng
0189,RSH1-L09,响,echo,xiǎng,xiǎng
0190,RSH1-L09,尚,esteem,shàng,shàng
0191,RSH1-L09,字,character,zì,zì
0192,RSH1-L09,守,guard,shǒu,shǒu
0193,RSH1-L09,完,finish,wán,wán
0194,RSH1-L09,灾,disaster,zāi,zāi
0195,RSH1-L09,宣,proclaim,xuān,xuān
0196,RSH1-L09,宵,nighttime,xiāo,xiāo
0197,RSH1-L09,安,peaceful,ān,ān
0198,RSH1-L09,宴,banquet,yàn,yàn
0199,RSH1-L09,寄,mail,jì,jì
0200,RSH1-L09,富,wealthy,fù,fù
0201,RSH1-L09,贮,store up,zhù,zhù
0202,RSH1-L10,木,tree,mù,mù
0203,RSH1-L10,林,woods,lín,lín
0204,RSH1-L10,森,forest,sēn,sēn
0205,RSH1-L10,梦,dream,mèng,mèng
0206,RSH1-L10,机,machine,jī,jī
0207,RSH1-L10,植,plant,zhí,zhí
0208,RSH1-L10,杏,apricot,xìng,xìng
0209,RSH1-L10,呆,dim-witted,dāi,dāi|ái
0210,RSH1-L10,枯,withered,kū,kū
0211,RSH1-L10,村,village,cūn,cūn
0212,RSH1-L10,相,one another,xiāng,xiāng|xiàng
0213,RSH1-L10,本,notebook,běn,běn
0214,RSH1-L10,案,case,àn,àn
0215,RSH1-L10,未,not yet,wèi,wèi
0216,RSH1-L10,末,last,mò,me|mò
0217,RSH1-L10,沫,foam,mò,mò
0218,RSH1-L10,味,flavor,wèi,wèi
0219,RSH1-L10,妹,younger sister,mèi,mèi
0220,RSH1-L10,查,investigate,chá,chá|Zhā
0221,RSH1-L10,渣,sediment,zhā,zhā
0222,RSH1-L10,染,dye,rǎn,rǎn
0223,RSH1-L10,李,plum,lǐ,lǐ
0224,RSH1-L10,桌,table,zhuō,zhuō
0225,RSH1-L10,杂,miscellaneous,zá,zá|zā
0226,RSH1-L10,若,as if,ruò,ruò|rě
0227,RSH1-L10,草,grass,cǎo,cǎo
0228,RSH1-L10,艺,technique,yì,yì
0229,RSH1-L10,苦,suffering,kǔ,kǔ
0230,RSH1-L10,宽,wide,kuān,kuān
0231,RSH1-L10,莫,nobody,mò,mò
0232,RSH1-L10,模,imitate,mó,mó|mú
0233,RSH1-L10,漠,desert,mò,mò
0234,RSH1-L10,墓,grave,mù,mù
0235,RSH1-L10,苗,seedling,miáo,miáo
0236,RSH1-L10,瞄,aim,miáo,miáo
0237,RSH1-L11,兆,portent,zhào,zhào
0238,RSH1-L11,桃,peach,táo,táo
0239,RSH1-L11,犬,pooch,quǎn,quǎn
0240,RSH1-L11,尤,remarkable,yóu,yóu
0241,RSH1-L11,厌,detest,yàn,yàn|yān
0242,RSH1-L11,状,state of affairs,zhuàng,zhuàng
0243,RSH1-L11,妆,put on makeup,zhuāng,zhuāng
0244,RSH1-L11,将,General,jiàng,jiāng|jiàng|qiāng
0245,RSH1-L11,获,seize,huò,huò
0246,RSH1-L11,默,silent,mò,mò
0247,RSH1-L11,然,sort of thing,rán,rán
0248,RSH1-L11,哭,cry,kū,kū
0249,RSH1-L11,器,utensil,qì,qì
0250,RSH1-L11,臭,stinking,chòu,chòu|xiù
0251,RSH1-L11,狗,dog,gǒu,gǒu
0252,RSH1-L11,牛,cow,niú,niú|niū
0253,RSH1-L11,特,special,tè,tè
0254,RSH1-L11,告,declare,gào,gào|gù
0255,RSH1-L11,浩,vast,hào,hào
0256,RSH1-L11,先,before,xiān,xiān
0257,RSH1-L11,洗,wash,xǐ,xǐ|Xiǎn
0258,RSH1-L12,个,individual,gè,ge|gè|gě
0259,RSH1-L12,介,introduce,jiè,jiè
0260,RSH1-L12,界,world,jiè,jiè|gā|gà
0261,RSH1-L12,茶,tea,chá,chá
0262,RSH1-L12,合,fit,hé,hé|gě
0263,RSH1-L12,哈,ha!,hā,hā|hǎ|hà
0264,RSH1-L12,塔,pagoda,tǎ,tǎ|dā
0265,RSH1-L12,王,king,wáng,wáng|wàng
0266,RSH1-L12,玉,jade,yù,yù
0267,RSH1-L12,宝,treasure,bǎo,bǎo
0268,RSH1-L12,球,ball,qiú,qiú
0269,RSH1-L12,现,present,xiàn,xiàn
0270,RSH1-L12,玩,play,wán,wán
0271,RSH1-L12,狂,crazy,kuáng,kuáng
0272,RSH1-L12,皇,emperor,huáng,huáng
0273,RSH1-L12,煌,resplendent,huáng,huáng
0274,RSH1-L12,呈,submit,chéng,chéng
0275,RSH1-L12,全,whole,quán,quán
0276,RSH1-L12,理,logic,lǐ,lǐ
0277,RSH1-L12,主,lord,zhǔ,zhǔ
0278,RSH1-L12,注,pour,zhù,zhù
0279,RSH1-L12,金,gold,jīn,jīn
0280,RSH1-L12,钟,bell,zhōng,zhōng
0281,RSH1-L12,铜,copper,tóng,tóng
0282,RSH1-L12,钓,go fishin',diào,diào
0283,RSH1-L12,针,needle,zhēn,zhēn
0284,RSH1-L12,钉,nail,dīng,dīng|dìng
0285,RSH1-L12,铭,inscription,míng,míng
0286,RSH1-L12,镇,at ease,zhèn,zhèn
0287,RSH1-L13,道,way,dào,dào|dǎo|dāo
0288,RSH1-L13,达,reach,dá,dá|dā|tà
0289,RSH1-L13,远,distant,yuǎn,yuǎn
0290,RSH1-L13,适,suitable,shì,shì|dí
0291,RSH1-L13,过,cross,guò,guò|guo
0292,RSH1-L13,迈,stride,mài,mài
0293,RSH1-L13,迅,speedy,xùn,xùn
0294,RSH1-L13,造,create,zào,zào
0295,RSH1-L13,逃,escape,táo,táo
0296,RSH1-L13,巡,patrol,xún,xún
0297,RSH1-L13,选,choose,xuǎn,xuǎn
0298,RSH1-L13,逊,modest,xùn,xùn
0299,RSH1-L13,逛,stroll,guàng,guàng
0300,RSH1-L13,车,car,chē,chē|jū
0301,RSH1-L13,连,one after another,lián,lián
0302,RSH1-L13,莲,lotus,lián,lián
0303,RSH1-L13,前,in front,qián,qián
0304,RSH1-L13,剪,shears,jiǎn,jiǎn
0305,RSH1-L13,输,transport,shū,shū
0306,RSH1-L13,逾,exceed,yú,yú
0307,RSH1-L13,条,strip,tiáo,tiáo
0308,RSH1-L13,处,location,chù,chù|chǔ
0309,RSH1-L13,各,each,gè,gè|gě
0310,RSH1-L13,格,pattern,gé,gé|gē
0311,RSH1-L13,略,abbreviation,lüè,lüè
0312,RSH1-L13,客,guest,kè,kè
0313,RSH1-L13,额,forehead,é,é
0314,RSH1-L13,夏,summer,xià,xià
0315,RSH1-L13,洛,L.A.,luò,Luò
0316,RSH1-L13,落,fall,luò,luò|là|lào|luō
0317,RSH1-L13,备,prepare,bèi,bèi
0318,RSH1-L14,冗,superfluous,rǒng,rǒng
0319,RSH1-L14,沉,profound,chén,chén|chēn
0320,RSH1-L14,军,army,jūn,jūn
0321,RSH1-L14,辉,radiance,huī,huī
0322,RSH1-L14,冠,crown,guān,guàn|guān
0323,RSH1-L14,坑,pit,kēng,kēng
0324,RSH1-L14,亩,Chinese acre,mǔ,mǔ
0325,RSH1-L14,高,tall,gāo,gāo
0326,RSH1-L14,享,enjoy,xiǎng,xiǎng
0327,RSH1-L14,熟,ripe,shú,shú|shóu
0328,RSH1-L14,亭,pavilion,tíng,tíng
0329,RSH1-L14,亮,shiny,liàng,liàng
0330,RSH1-L14,京,capital,jīng,jīng
0331,RSH1-L14,景,scenery,jǐng,jǐng
0332,RSH1-L14,就,at once,jiù,jiù
0333,RSH1-L14,周,circumference,zhōu,zhōu
0334,RSH1-L14,士,soldier,shì,shì
0335,RSH1-L14,吉,lucky,jí,jí
0336,RSH1-L14,壮,robust,zhuàng,zhuàng|Zhuàng
0337,RSH1-L15,学,study,xué,xué
0338,RSH1-L15,觉,senses,jué,jué|jiào
0339,RSH1-L15,攻,attack,gōng,gōng
0340,RSH1-L15,敌,enemy,dí,dí
0341,RSH1-L15,败,fail,bài,bài
0342,RSH1-L15,故,deliberately,gù,gù
0343,RSH1-L15,救,rescue,jiù,jiù
0344,RSH1-L15,敬,revere,jìng,jìng
0345,RSH1-L15,敞,spacious,chǎng,chǎng
0346,RSH1-L15,言,say,yán,yán
0347,RSH1-L15,警,police,jǐng,jǐng
0348,RSH1-L15,计,plan,jì,jì
0349,RSH1-L15,让,yield,ràng,ràng
0350,RSH1-L15,狱,prison,yù,yù
0351,RSH1-L15,讨,condemn,tǎo,tǎo
0352,RSH1-L15,训,instruction,xùn,xùn
0353,RSH1-L15,识,knowledge,shí,shí|zhì
0354,RSH1-L15,话,talk,huà,huà|huo
0355,RSH1-L15,诗,poem,shī,shī
0356,RSH1-L15,语,language,yǔ,yǔ|yù
0357,RSH1-L15,调,tune,diào,diào|tiáo
0358,RSH1-L15,谈,discuss,tán,tán
0359,RSH1-L16,式,style,shì,shì
0360,RSH1-L16,试,test,shì,shì
0361,RSH1-L16,戈,halberd,gē,gē
0362,RSH1-L16,战,war,zhàn,zhàn
0363,RSH1-L16,划,scratch,huà,huá|huà
0364,RSH1-L16,或,or,huò,huò
0365,RSH1-L16,贼,burglar,zéi,zéi
0366,RSH1-L16,载,laden,zài,zài|zǎi
0367,RSH1-L16,茂,lush,mào,mào
0368,RSH1-L16,成,turn into,chéng,chéng
0369,RSH1-L16,城,city,chéng,chéng
0370,RSH1-L16,诚,sincere,chéng,chéng
0371,RSH1-L16,威,might,wēi,wēi
0372,RSH1-L16,咸,salty,xián,xián
0373,RSH1-L16,钱,coin,qián,qián
0374,RSH1-L16,浅,shallow,qiǎn,qiǎn
0375,RSH1-L16,贱,cheap,jiàn,jiàn
0376,RSH1-L16,尧,Yao,yáo,Yáo
0377,RSH1-L16,烧,fever,shāo,shāo
0378,RSH1-L16,晓,dawn,xiǎo,xiǎo
0379,RSH1-L17,止,stop,zhǐ,zhǐ
0380,RSH1-L17,步,footstep,bù,bù
0381,RSH1-L17,涉,ford,shè,shè
0382,RSH1-L17,频,repeatedly,pín,pín
0383,RSH1-L17,肯,agree,kěn,kěn
0384,RSH1-L17,企,look forward to,qǐ,qǐ
0385,RSH1-L17,武,military,wǔ,wǔ
0386,RSH1-L17,赋,levy,fù,fù
0387,RSH1-L17,正,correct,zhèng,zhèng|zhēng
0388,RSH1-L17,证,evidence,zhèng,zhèng
0389,RSH1-L17,政,politics,zhèng,zhèng
0390,RSH1-L17,定,settle on,dìng,dìng
0391,RSH1-L17,走,walk,zǒu,zǒu
0392,RSH1-L17,超,transcend,chāo,chāo
0393,RSH1-L17,越,surpass,yuè,yuè
0394,RSH1-L17,是,be,shì,shì
0395,RSH1-L17,题,topic,tí,tí
0396,RSH1-L17,延,prolong,yán,yán
0397,RSH1-L17,诞,nativity,dàn,dàn
0398,RSH1-L17,建,build,jiàn,jiàn
0399,RSH1-L17,楚,clear,chǔ,chǔ
0400,RSH1-L18,衣,clothing,yī,yī|yì
0401,RSH1-L18,裁,tailor,cái,cái
0402,RSH1-L18,装,attire,zhuāng,zhuāng
0403,RSH1-L18,哀,grief,āi,āi
0404,RSH1-L18,袁,Yuan,yuán,Yuán
0405,RSH1-L18,初,elementary,chū,chū
0406,RSH1-L18,补,patch,bǔ,bǔ
0407,RSH1-L18,衬,inner garments,chèn,chèn
0408,RSH1-L18,农,agriculture,nóng,nóng
0409,RSH1-L18,浓,concentrated,nóng,nóng
0410,RSH1-L18,巾,towel,jīn,jīn
0411,RSH1-L18,帅,commander,shuài,shuài
0412,RSH1-L18,师,teacher,shī,shī
0413,RSH1-L18,狮,lion,shī,shī
0414,RSH1-L18,布,cloth,bù,bù
0415,RSH1-L18,帜,streamer,zhì,zhì
0416,RSH1-L18,帽,hat,mào,mào
0417,RSH1-L18,幕,curtain,mù,mù
0418,RSH1-L18,棉,cotton,mián,mián
0419,RSH1-L18,市,market,shì,shì
0420,RSH1-L18,肺,lungs,fèi,fèi
0421,RSH1-L18,带,sash,dài,dài
0422,RSH1-L18,滞,stagnant,zhì,zhì
0423,RSH1-L18,刺,thorn,cì,cì|cī
0424,RSH1-L18,制,system,zhì,zhì
0425,RSH1-L18,雨,rain,yǔ,yǔ
0426,RSH1-L18,雷,thunder,léi,léi
0427,RSH1-L18,霜,frost,shuāng,shuāng
0428,RSH1-L18,云,cloud,yún,yún
0429,RSH1-L18,运,carry,yùn,yùn
0430,RSH1-L18,冰,ice,bīng,bīng
0431,RSH1-L18,况,situation,kuàng,kuàng
0432,RSH1-L18,冲,collide,chōng,chōng|chòng
0433,RSH1-L18,减,reduce,jiǎn,jiǎn
0434,RSH1-L18,凉,cool,liáng,liáng|liàng
0435,RSH1-L18,冬,winter,dōng,dōng
0436,RSH1-L18,天,heavens,tiān,tiān
0437,RSH1-L18,吴,Wu,wú,Wú
0438,RSH1-L18,娱,amusement,yú,yú
0439,RSH1-L18,误,error,wù,wù
0440,RSH1-L18,夭,die young,yāo,yāo
0441,RSH1-L18,乔,pretend,qiáo,qiáo
0442,RSH1-L18,桥,bridge,qiáo,qiáo
0443,RSH1-L18,娇,attractive,jiāo,jiāo
0444,RSH1-L18,立,standing up,lì,lì
0445,RSH1-L18,泣,weep,qì,qì
0446,RSH1-L18,站,station,zhàn,zhàn
0447,RSH1-L18,章,chapter,zhāng,zhāng
0448,RSH1-L18,竞,compete,jìng,jìng
0449,RSH1-L18,帝,sovereign,dì,dì
0450,RSH1-L18,童,juvenile,tóng,tóng
0451,RSH1-L18,商,salesman,shāng,shāng
0452,RSH1-L18,滴,drip,dī,dī
0453,RSH1-L18,匕,ancient spoon,bǐ,bǐ
0454,RSH1-L18,北,north,běi,běi
0455,RSH1-L18,背,back,bèi,bèi|bēi
0456,RSH1-L18,比,compare,bǐ,bǐ|pí|bì
0457,RSH1-L18,昆,descendants,kūn,kūn
0458,RSH1-L18,混,mix,hùn,hùn|hún
0459,RSH1-L18,皆,all,jiē,jiē
0460,RSH1-L18,此,this (literary),cǐ,cǐ
0461,RSH1-L18,些,somewhat,xiē,xiē
0462,RSH1-L18,它,it,tā,tā
0463,RSH1-L18,旨,purpose,zhǐ,zhǐ
0464,RSH1-L18,脂,grease,zhī,zhī
0465,RSH1-L18,论,theory,lùn,lùn|lún
0466,RSH1-L18,轮,wheel,lún,lún
0467,RSH1-L18,每,every,měi,měi
0468,RSH1-L18,梅,small plum,méi,méi
0469,RSH1-L18,海,sea,hǎi,hǎi
0470,RSH1-L18,乞,beg,qǐ,qǐ
0471,RSH1-L18,吃,eat,chī,chī
0472,RSH1-L18,复,duplicate,fù,fù
0473,RSH1-L18,腹,abdomen,fù,fù
0474,RSH1-L18,欠,lack,qiàn,qiàn
0475,RSH1-L18,吹,blow,chuī,chuī
0476,RSH1-L18,歌,song,gē,gē
0477,RSH1-L18,软,soft,ruǎn,ruǎn
0478,RSH1-L18,次,next,cì,cì
0479,RSH1-L18,资,assets,zī,zī
0480,RSH1-L18,姿,looks,zī,zī
0481,RSH1-L18,咨,consult with,zī,zī
0482,RSH1-L19,赔,compensate,péi,péi
0483,RSH1-L19,培,cultivate,péi,péi
0484,RSH1-L19,音,sound,yīn,yīn
0485,RSH1-L19,暗,dark,àn,àn
0486,RSH1-L19,韵,rhyme,yùn,yùn
0487,RSH1-L19,竟,unexpectedly,jìng,jìng
0488,RSH1-L19,镜,mirror,jìng,jìng
0489,RSH1-L19,境,boundary,jìng,jìng
0490,RSH1-L19,亡,deceased,wáng,wáng
0491,RSH1-L19,盲,blind,máng,máng
0492,RSH1-L19,妄,absurd,wàng,wàng
0493,RSH1-L19,望,expect,wàng,wàng
0494,RSH1-L19,方,direction,fāng,fāng
0495,RSH1-L19,妨,hinder,fáng,fáng
0496,RSH1-L19,放,release,fàng,fàng
0497,RSH1-L19,激,excite,jī,jī
0498,RSH1-L19,旁,side,páng,páng|bàng
0499,RSH1-L19,兑,convert,duì,duì
0500,RSH1-L19,脱,undress,tuō,tuō
0501,RSH1-L19,说,speak,shuō,shuō|shuì
0502,RSH1-L19,曾,formerly,céng,céng|zēng
0503,RSH1-L19,增,increase,zēng,zēng
0504,RSH1-L19,赠,make a present of,zèng,zèng
0505,RSH1-L20,也,also,yě,yě
0506,RSH1-L20,她,she,tā,tā
0507,RSH1-L20,地,ground,dì,de|dì
0508,RSH1-L20,池,pond,chí,chí
0509,RSH1-L20,虫,insect,chóng,chóng
0510,RSH1-L20,虾,shrimp,xiā,xiā|há
0511,RSH1-L20,独,alone,dú,dú
0512,RSH1-L20,虽,although,suī,suī
0513,RSH1-L20,蛇,serpent,shé,shé|yí
0514,RSH1-L20,蛋,egg,dàn,dàn
0515,RSH1-L20,己,self,jǐ,jǐ
0516,RSH1-L20,起,begin,qǐ,qǐ
0517,RSH1-L20,改,alter,gǎi,gǎi
0518,RSH1-L20,记,remember,jì,jì
0519,RSH1-L20,已,already,yǐ,yǐ
0520,RSH1-L20,包,wrap,bāo,bāo
0521,RSH1-L20,泡,bubbles,pào,pào|pāo
0522,RSH1-L20,导,guide,dǎo,dǎo
0523,RSH1-L20,顾,look back,gù,gù
0524,RSH1-L20,逐,pursue,zhú,zhú
0525,RSH1-L20,家,house,jiā,jiā|jia|jie
0526,RSH1-L20,场,site,chǎng,chǎng|cháng
0527,RSH1-L20,汤,soup,tāng,tāng|shāng
0528,RSH1-L20,羊,sheep,yáng,yáng
0529,RSH1-L20,美,beautiful,měi,měi
0530,RSH1-L20,洋,ocean,yáng,yáng|yāng
0531,RSH1-L20,鲜,fresh,xiān,xiān|xiǎn
0532,RSH1-L20,样,appearance,yàng,yàng
0533,RSH1-L20,兰,orchid,lán,lán
0534,RSH1-L20,烂,spoiled,làn,làn|lān
0535,RSH1-L20,差,fall short of,chà,chà|chā|cī|chāi|cuō
0536,RSH1-L20,着,-ing,zhe,zhe|zháo|zhāo|zhuó|zhù
0537,RSH1-L20,养,raise,yǎng,yǎng
0538,RSH1-L20,集,gather,jí,jí
0539,RSH1-L20,准,standard,zhǔn,zhǔn
0540,RSH1-L20,谁,who?,shéi,shuí
0541,RSH1-L20,售,vend,shòu,shòu
0542,RSH1-L20,午,noon,wǔ,wǔ
0543,RSH1-L20,许,permit,xǔ,xǔ|hǔ
0544,RSH1-L20,羽,feathers,yǔ,yǔ
0545,RSH1-L20,习,learn,xí,xí
0546,RSH1-L20,翔,soar,xiáng,xiáng
